VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
WBY7Z6C54J,Snohomish,Bothell,WA,98012,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,0,1,350036816,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
WAUUPBFF3J,Skagit,Anacortes,WA,98221,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,40,202271135,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940403
5YJXCBE42L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,1,104448676,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
1N4BZ1CP3K,Kittitas,Thorp,WA,98946,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,13,111483417,POINT (-120.66621 47.05139),PUGET SOUND ENERGY INC,53037975203
5YJSA1CN1D,Skagit,Anacortes,WA,98221,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,10,262672861,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940302
5YJSA1E22H,Chelan,Chelan,WA,98816,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,12,127983089,POINT (-120.01454 47.83985),PUD NO 1 OF CHELAN COUNTY,53007960303
3FA6P0SU9D,Kittitas,Easton,WA,98925,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,13,7082421,POINT (-121.17954 47.2378),PUGET SOUND ENERGY INC,53037975101
JTMCB3FVXR,Snohomish,Edmonds,WA,98020,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,21,268208160,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050300
3C3CFFGE9F,King,Redmond,WA,98053,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,45,327574432,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032315
JTDKAMFP2N,Snohomish,Everett,WA,98208,2022,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,44,187254686,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061052119
1G1FZ6S08L,King,Maple Valley,WA,98038,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,5,137489348,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032010
5YJSA1H10E,Snohomish,Marysville,WA,98270,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,38,195334331,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052810
WA1E2AFYXR,Clark,Vancouver,WA,98683,2024,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,0,18,268414275,POINT (-122.49212 45.60365),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041325
5YJ3E1EB9N,Snohomish,Snohomish,WA,98296,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,195718813,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052107
WB523CF01N,Alameda,Fremont,CA,94538,2022,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,,205813730,POINT (-121.9833 37.55148),NON WASHINGTON STATE ELECTRIC UTILITY,6001442502
1C4RJXP62R,King,Redmond,WA,98053,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,45,273434122,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032332
KNDPZDDH9S,Snohomish,Snohomish,WA,98290,2025,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,44,270193689,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052607
1FADP3R40H,Whitman,Pullman,WA,99163,2017,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,100,0,9,339755720,POINT (-117.18147 46.73015),AVISTA CORP,53075000300
7SAXCBE59S,Snohomish,Lynnwood,WA,98087,2025,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21,276644840,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041703
KNDRMDLH7N,Chelan,Leavenworth,WA,98826,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,12,209797367,POINT (-120.65754 47.5982),PUD NO 1 OF CHELAN COUNTY,53007960203
7SAYGDEE5P,Thurston,Tumwater,WA,98501,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,238584804,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067011821
WBY1Z4C57G,King,Seattle,WA,98144,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,37,173485847,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009400
7SAYGDEE0N,Chelan,Peshastin,WA,98847,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,12,193920226,POINT (-120.60364 47.56805),PUD NO 1 OF CHELAN COUNTY,53007960501
1V2DSPE88R,King,Seattle,WA,98101,2024,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,270188124,POINT (-122.34223 47.61085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007202
KNDCE3LG6K,Snohomish,Everett,WA,98204,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,21,3283955,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041812
1N4AZ1CP7L,Snohomish,Bothell,WA,98012,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,1,138147439,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
1FADP5CU3D,King,Lake Forest Park,WA,98155,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,46,1632536,POINT (-122.3175 47.75781),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033021400
JTDACACU9R,King,Normandy Park,WA,98166,2024,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,33,264841461,POINT (-122.34134 47.46593),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028600
5YJ3E1EA2N,Snohomish,Mill Creek,WA,98012,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44,269931651,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052006
3GPKHXRJ5R,King,Seattle,WA,98199,2024,HONDA,PROLOGUE,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,279950877,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005600
1N4BZ1DV6M,King,Bellevue,WA,98008,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,154806116,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023403
KNDCR3L16R,Kitsap,Bremerton,WA,98312,2024,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,268176772,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080600
7SAYGDEE4P,King,Woodinville,WA,98072,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,273426240,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032320
7G2CEHED7S,King,North Bend,WA,98045,2025,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5,277042433,POINT (-121.7831 47.49348),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032704
7SAYGDEE6P,King,Bellevue,WA,98008,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,261345409,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000
7SAYGDEE6P,King,Redmond,WA,98052,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,259320029,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321
5YJSA1E26H,King,Covington,WA,98042,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,47,204418084,POINT (-122.09124 47.33778),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031709
